,Neuron,Target,Number of Connections,Neurotransmitter
0,ADAL,AIBL,1.0,exc
1,ADAL,AIBR,2.0,exc
2,ADAL,AVAR,2.0,exc
3,ADAL,AVBL,4.0,exc
4,ADAL,AVBR,7.0,exc
5,ADAL,AVDL,1.0,exc
6,ADAL,AVEL,1.0,exc
7,ADAL,AVJR,5.0,exc
8,ADAL,FLPR,1.0,exc
9,ADAL,RICL,1.0,exc
10,ADAL,RICR,1.0,exc
11,ADAL,RIML,3.0,exc
12,ADAL,RIPL,1.0,exc
13,ADAL,SMDVR,2.0,exc
14,ADAR,AIBL,1.0,exc
15,ADAR,AIBR,1.0,exc
16,ADAR,AVAL,1.0,exc
17,ADAR,AVBL,1.0,exc
18,ADAR,AVBR,5.0,exc
19,ADAR,AVEL,1.0,exc
20,ADAR,AVJL,3.0,exc
21,ADAR,RICL,1.0,exc
22,ADAR,RIMR,5.0,exc
23,ADAR,RIPR,1.0,exc
24,ADAR,RIVR,1.0,exc
25,ADAR,SMDVL,2.0,exc
26,ADEL,ADAL,1.0,exc
27,ADEL,ADER,1.0,exc
28,ADEL,AVAL,2.0,exc
29,ADEL,AVAR,3.0,exc
30,ADEL,AVEL,1.0,exc
31,ADEL,AVL,1.0,exc
32,ADEL,BDUL,1.0,exc
33,ADEL,CEPDL,1.0,exc
34,ADEL,FLPL,1.0,exc
35,ADEL,IL1L,1.0,exc
36,ADEL,IL2L,1.0,exc
37,ADEL,OLLL,1.0,exc
38,ADEL,RIAL,1.0,exc
39,ADEL,RIFL,1.0,exc
40,ADEL,RIGL,5.0,exc
41,ADEL,RIGR,3.0,exc
42,ADEL,RIH,2.0,exc
43,ADEL,RIVL,1.0,exc
44,ADEL,RIVR,1.0,exc
45,ADEL,RMDL,2.0,exc
46,ADEL,RMGL,1.0,exc
47,ADEL,RMHL,1.0,exc
48,ADEL,SIADR,1.0,exc
49,ADEL,SIBDR,1.0,exc
50,ADEL,SMBDR,1.0,exc
51,ADEL,URBL,1.0,exc
52,ADER,ADAR,1.0,exc
53,ADER,ADEL,2.0,exc
54,ADER,ALA,1.0,exc
55,ADER,AVAL,5.0,exc
56,ADER,AVAR,1.0,exc
57,ADER,AVDR,2.0,exc
58,ADER,AVER,1.0,exc
59,ADER,AVJR,1.0,exc
60,ADER,AVKL,1.0,exc
61,ADER,AVKR,1.0,exc
62,ADER,CEPDR,1.0,exc
63,ADER,FLPL,1.0,exc
64,ADER,FLPR,1.0,exc
65,ADER,OLLR,2.0,exc
66,ADER,PVR,1.0,exc
67,ADER,RIGL,7.0,exc
68,ADER,RIGR,4.0,exc
69,ADER,RIH,1.0,exc
70,ADER,RMDR,2.0,exc
71,ADER,SAAVR,1.0,exc
72,ADFL,ADAL,1.0,exc
73,ADFL,AIZL,12.0,exc
74,ADFL,AUAL,5.0,exc
75,ADFL,OLQVL,1.0,exc
76,ADFL,RIAL,15.0,exc
77,ADFL,RIGL,1.0,exc
78,ADFL,RIR,2.0,exc
79,ADFL,SMBVL,2.0,exc
80,ADFR,ADAR,1.0,exc
81,ADFR,AIYR,1.0,exc
82,ADFR,AIZR,8.0,exc
83,ADFR,ASHR,1.0,exc
84,ADFR,AUAR,4.0,exc
85,ADFR,AWBR,1.0,exc
86,ADFR,PVPR,1.0,exc
87,ADFR,RIAR,16.0,exc
88,ADFR,RIGR,3.0,exc
89,ADFR,RIR,3.0,exc
90,ADFR,SMBDR,1.0,exc
91,ADFR,SMBVR,2.0,exc
92,ADFR,URXR,1.0,exc
93,ADLL,AIAL,6.0,exc
94,ADLL,AIBL,7.0,exc
95,ADLL,AIBR,1.0,exc
96,ADLL,ALA,2.0,exc
97,ADLL,ASER,3.0,exc
98,ADLL,ASHL,2.0,exc
99,ADLL,AVAL,2.0,exc
100,ADLL,AVAR,3.0,exc
101,ADLL,AVBL,2.0,exc
102,ADLL,AVDL,1.0,exc
103,ADLL,AVDR,4.0,exc
104,ADLL,AVJL,1.0,exc
105,ADLL,AVJR,3.0,exc
106,ADLL,AWBL,2.0,exc
107,ADLL,OLQVL,1.0,exc
108,ADLL,RIPL,1.0,exc
109,ADLR,AIAR,10.0,exc
110,ADLR,AIBR,10.0,exc
111,ADLR,ASER,1.0,exc
112,ADLR,ASHR,3.0,exc
113,ADLR,AVAR,2.0,exc
114,ADLR,AVBL,1.0,exc
115,ADLR,AVBR,2.0,exc
116,ADLR,AVDL,5.0,exc
117,ADLR,AVDR,2.0,exc
118,ADLR,AVJR,1.0,exc
119,ADLR,AWCR,3.0,exc
120,ADLR,OLLR,1.0,exc
121,ADLR,PVCL,1.0,exc
122,ADLR,RICL,1.0,exc
123,ADLR,RICR,1.0,exc
124,AFDL,AINR,1.0,exc
125,AFDL,AIYL,7.0,exc
126,AFDR,AIYR,13.0,exc
127,AFDR,ASER,1.0,exc
128,AIAL,ADAL,1.0,exc
129,AIAL,AIBL,10.0,exc
130,AIAL,AIML,2.0,exc
131,AIAL,AIZL,1.0,exc
132,AIAL,ASER,3.0,exc
133,AIAL,ASGL,1.0,exc
134,AIAL,ASHL,1.0,exc
135,AIAL,ASKL,3.0,exc
136,AIAL,AWCR,1.0,exc
137,AIAL,HSNL,1.0,exc
138,AIAL,RIFL,1.0,exc
139,AIAL,RMGL,1.0,exc
140,AIAR,ADAR,1.0,exc
141,AIAR,ADLR,2.0,exc
142,AIAR,AIBR,14.0,exc
143,AIAR,AIZR,1.0,exc
144,AIAR,ASER,1.0,exc
145,AIAR,ASGR,1.0,exc
146,AIAR,AWAR,1.0,exc
147,AIAR,AWCL,1.0,exc
148,AIAR,AWCR,3.0,exc
149,AIAR,RIFR,2.0,exc
150,AIBL,AIYL,1.0,exc
151,AIBL,ASER,1.0,exc
152,AIBL,AVAL,2.0,exc
153,AIBL,AVBL,5.0,exc
154,AIBL,FLPL,1.0,exc
155,AIBL,RIBR,4.0,exc
156,AIBL,RIFL,1.0,exc
157,AIBL,RIGR,1.0,exc
158,AIBL,RIML,2.0,exc
159,AIBL,RIMR,13.0,exc
160,AIBL,SAADL,2.0,exc
161,AIBL,SAADR,2.0,exc
162,AIBL,SMDDR,4.0,exc
163,AIBR,AVAR,1.0,exc
164,AIBR,AVBR,3.0,exc
165,AIBR,AVEL,1.0,exc
166,AIBR,RIAL,1.0,exc
167,AIBR,RIBL,4.0,exc
168,AIBR,RIML,16.0,exc
169,AIBR,RIMR,1.0,exc
170,AIBR,SAADL,1.0,exc
171,AIBR,SMDDL,3.0,exc
172,AIBR,SMDVL,1.0,exc
173,AIBR,VB1,3.0,exc
174,AIML,AIAL,5.0,exc
175,AIML,ALML,1.0,exc
176,AIML,ASGL,2.0,exc
177,AIML,ASKL,2.0,exc
178,AIML,AVBR,2.0,exc
179,AIML,AVDL,1.0,exc
180,AIML,AVDR,1.0,exc
181,AIML,AVER,1.0,exc
182,AIML,AVFL,4.0,exc
183,AIML,AVFR,1.0,exc
184,AIML,AVHL,2.0,exc
185,AIML,AVHR,1.0,exc
186,AIML,AVJL,1.0,exc
187,AIML,PVQL,1.0,exc
188,AIML,RIFL,1.0,exc
189,AIML,SMBVL,1.0,exc
190,AIMR,AIAR,5.0,exc
191,AIMR,ASGR,2.0,exc
192,AIMR,ASJR,2.0,exc
193,AIMR,ASKR,3.0,exc
194,AIMR,AVDR,1.0,exc
195,AIMR,AVFL,1.0,exc
196,AIMR,AVFR,1.0,exc
197,AIMR,HSNL,1.0,exc
198,AIMR,HSNR,2.0,exc
199,AIMR,OLQDR,1.0,exc
200,AIMR,PVNR,1.0,exc
201,AIMR,RIFR,1.0,exc
202,AIMR,RMGR,1.0,exc
203,AINL,AFDR,5.0,exc
204,AINL,ASEL,3.0,exc
205,AINL,ASGR,1.0,exc
206,AINL,AUAR,1.0,exc
207,AINL,BAGL,3.0,exc
208,AINL,RIBL,1.0,exc
209,AINL,RIBR,2.0,exc
210,AINR,AFDL,4.0,exc
211,AINR,AFDR,1.0,exc
212,AINR,AIAL,2.0,exc
213,AINR,AIBL,2.0,exc
214,AINR,ASEL,1.0,exc
215,AINR,ASER,1.0,exc
216,AINR,AUAR,1.0,exc
217,AINR,BAGR,3.0,exc
218,AINR,RIBL,2.0,exc
219,AINR,RID,1.0,exc
220,AIYL,AIZL,13.0,exc
221,AIYL,AWAL,3.0,exc
222,AIYL,AWCL,1.0,exc
223,AIYL,AWCR,1.0,exc
224,AIYL,HSNR,1.0,exc
225,AIYL,RIAL,7.0,exc
226,AIYL,RIBL,4.0,exc
227,AIYR,ADFR,1.0,exc
228,AIYR,AIZR,8.0,exc
229,AIYR,AWAR,1.0,exc
230,AIYR,HSNL,1.0,exc
231,AIYR,RIAR,6.0,exc
232,AIYR,RIBR,2.0,exc
233,AIZL,AIAL,3.0,exc
234,AIZL,AIBL,2.0,exc
235,AIZL,AIBR,8.0,exc
236,AIZL,ASEL,1.0,exc
237,AIZL,AVER,5.0,exc
238,AIZL,DVA,1.0,exc
239,AIZL,RIAL,8.0,exc
240,AIZL,RIGL,1.0,exc
241,AIZL,RIML,4.0,exc
242,AIZL,SMBDL,9.0,exc
243,AIZL,SMBVL,7.0,exc
244,AIZL,VB2,1.0,exc
245,AIZR,AIAR,1.0,exc
246,AIZR,AIBL,8.0,exc
247,AIZR,AIBR,1.0,exc
248,AIZR,AVEL,4.0,exc
249,AIZR,AVER,1.0,exc
250,AIZR,DVA,1.0,exc
251,AIZR,RIAR,7.0,exc
252,AIZR,RIMR,4.0,exc
253,AIZR,SMBDR,5.0,exc
254,AIZR,SMBVR,3.0,exc
255,AIZR,SMDDR,1.0,exc
256,ALA,ADEL,1.0,exc
257,ALA,AVAL,1.0,exc
258,ALA,AVEL,2.0,exc
259,ALA,AVER,1.0,exc
260,ALA,RMDR,1.0,exc
261,ALML,AVDR,1.0,exc
262,ALML,AVEL,1.0,exc
263,ALML,BDUL,6.0,exc
264,ALML,CEPDL,3.0,exc
265,ALML,CEPVL,2.0,exc
266,ALML,PVCL,2.0,exc
267,ALML,PVCR,1.0,exc
268,ALML,RMDDR,1.0,exc
269,ALML,RMGL,1.0,exc
270,ALML,SDQL,1.0,exc
271,ALMR,BDUR,5.0,exc
272,ALMR,CEPDR,1.0,exc
273,ALMR,CEPVR,1.0,exc
274,ALMR,PVCR,3.0,exc
275,ALMR,RMDDL,1.0,exc
276,ALMR,SIADL,1.0,exc
277,ALNL,SAAVL,3.0,exc
278,ALNL,SMBDR,2.0,exc
279,ALNL,SMDVL,1.0,exc
280,ALNR,ADER,1.0,exc
281,ALNR,RMHR,1.0,exc
282,ALNR,SAAVR,2.0,exc
283,ALNR,SMBDL,2.0,exc
284,ALNR,SMDDR,1.0,exc
285,ALNR,SMDVL,1.0,exc
286,AQR,AVAL,1.0,exc
287,AQR,AVAR,3.0,exc
288,AQR,AVBL,3.0,exc
289,AQR,AVBR,4.0,exc
290,AQR,AVDL,1.0,exc
291,AQR,AVDR,1.0,exc
292,AQR,AVJL,1.0,exc
293,AQR,BAGL,2.0,exc
294,AQR,BAGR,2.0,exc
295,AQR,PVCR,2.0,exc
296,AQR,PVPL,1.0,exc
297,AQR,RIAL,3.0,exc
298,AQR,RIAR,1.0,exc
299,AQR,URXL,1.0,exc
300,AS1,DA1,2.0,exc
301,AS1,VD1,5.0,exc
302,AS11,PDA,1.0,exc
303,AS11,PDB,1.0,exc
304,AS11,VD13,2.0,exc
305,AS2,DB1,1.0,exc
306,AS2,DD1,1.0,exc
307,AS2,VD2,10.0,exc
308,AS3,DA3,1.0,exc
309,AS3,DD1,1.0,exc
310,AS3,VD2,1.0,exc
311,AS3,VD3,15.0,exc
312,AS4,AS5,1.0,exc
313,AS4,VD4,11.0,exc
314,AS5,DD2,1.0,exc
315,AS5,VD5,9.0,exc
316,AS6,VD6,13.0,exc
317,AS9,AVAR,1.0,exc
318,ASEL,ADFR,1.0,exc
319,ASEL,AIAL,3.0,exc
320,ASEL,AIBL,7.0,exc
321,ASEL,AIBR,2.0,exc
322,ASEL,AIYL,13.0,exc
323,ASEL,AIYR,6.0,exc
324,ASEL,AWCL,4.0,exc
325,ASEL,AWCR,1.0,exc
326,ASEL,RIAR,1.0,exc
327,ASER,AFDL,1.0,exc
328,ASER,AFDR,2.0,exc
329,ASER,AIAL,1.0,exc
330,ASER,AIAR,3.0,exc
331,ASER,AIBL,2.0,exc
332,ASER,AIBR,10.0,exc
333,ASER,AIYL,2.0,exc
334,ASER,AIYR,14.0,exc
335,ASER,AWAR,1.0,exc
336,ASER,AWCL,1.0,exc
337,ASER,AWCR,1.0,exc
338,ASGL,AIAL,9.0,exc
339,ASGL,AIBL,3.0,exc
340,ASGL,AINR,1.0,exc
341,ASGL,ASKL,1.0,exc
342,ASGR,AIAR,10.0,exc
343,ASGR,AIBR,2.0,exc
344,ASGR,AIYR,1.0,exc
345,ASHL,ADAL,1.0,exc
346,ASHL,ADFL,3.0,exc
347,ASHL,AIAL,7.0,exc
348,ASHL,AIBL,5.0,exc
349,ASHL,ASKL,1.0,exc
350,ASHL,AVAL,2.0,exc
351,ASHL,AVBL,6.0,exc
352,ASHL,AVDL,2.0,exc
353,ASHL,AVDR,2.0,exc
354,ASHL,RIAL,4.0,exc
355,ASHL,RIML,1.0,exc
356,ASHL,RIPL,1.0,exc
357,ASHR,ADAR,2.0,exc
358,ASHR,ADFR,2.0,exc
359,ASHR,AIAR,10.0,exc
360,ASHR,AIBR,3.0,exc
361,ASHR,AVAR,5.0,exc
362,ASHR,AVBR,3.0,exc
363,ASHR,AVDL,5.0,exc
364,ASHR,AVDR,1.0,exc
365,ASHR,AVER,3.0,exc
366,ASHR,HSNR,1.0,exc
367,ASHR,PVPR,1.0,exc
368,ASHR,RIAR,2.0,exc
369,ASHR,RMGR,2.0,exc
370,ASIL,AIBL,1.0,exc
371,ASIL,AIYL,2.0,exc
372,ASIL,AIZL,1.0,exc
373,ASIL,ASER,1.0,exc
374,ASIL,ASKL,2.0,exc
375,ASIL,AWCL,1.0,exc
376,ASIL,AWCR,1.0,exc
377,ASIL,RIBL,1.0,exc
378,ASIR,AIAL,1.0,exc
379,ASIR,AIAR,3.0,exc
380,ASIR,AIBR,1.0,exc
381,ASIR,ASEL,2.0,exc
382,ASIR,ASHR,1.0,exc
383,ASIR,AWCL,1.0,exc
384,ASIR,AWCR,1.0,exc
385,ASJL,ASKL,4.0,exc
386,ASJL,HSNL,1.0,exc
387,ASJL,HSNR,1.0,exc
388,ASJL,PVQL,14.0,exc
389,ASJR,ASKR,4.0,exc
390,ASJR,HSNR,1.0,exc
391,ASJR,PVQR,13.0,exc
392,ASKL,AIAL,11.0,exc
393,ASKL,AIBL,2.0,exc
394,ASKL,AIML,2.0,exc
395,ASKR,AIAR,11.0,exc
396,ASKR,AIMR,1.0,exc
397,ASKR,AWAR,1.0,exc
398,ASKR,CEPVR,1.0,exc
399,ASKR,RIFR,1.0,exc
400,AUAL,AVAL,3.0,exc
401,AUAL,AVDR,1.0,exc
402,AUAL,AVEL,3.0,exc
403,AUAL,RIAL,5.0,exc
404,AUAL,RIBL,9.0,exc
405,AUAR,AIYR,1.0,exc
406,AUAR,AVAR,1.0,exc
407,AUAR,AVER,4.0,exc
408,AUAR,RIAR,6.0,exc
409,AUAR,RIBR,13.0,exc
410,AUAR,URXR,1.0,exc
411,AVAL,AS10,2.0,exc
412,AVAL,AS11,4.0,exc
413,AVAL,AS2,1.0,exc
414,AVAL,AS3,1.0,exc
415,AVAL,AS4,1.0,exc
416,AVAL,AS5,3.0,exc
417,AVAL,AS7,8.0,exc
418,AVAL,AS8,5.0,exc
419,AVAL,AS9,8.0,exc
420,AVAL,AVAR,2.0,exc
421,AVAL,AVBR,1.0,exc
422,AVAL,AVDL,1.0,exc
423,AVAL,AVHL,1.0,exc
424,AVAL,DA1,2.0,exc
425,AVAL,DA2,2.0,exc
426,AVAL,DA3,6.0,exc
427,AVAL,DA4,7.0,exc
428,AVAL,DA5,7.0,exc
429,AVAL,DA6,11.0,exc
430,AVAL,DA7,2.0,exc
431,AVAL,DA8,4.0,exc
432,AVAL,DA9,3.0,exc
433,AVAL,DB5,2.0,exc
434,AVAL,DB6,1.0,exc
435,AVAL,LUAL,1.0,exc
436,AVAL,PVCL,10.0,exc
437,AVAL,PVCR,6.0,exc
438,AVAL,VA10,5.0,exc
439,AVAL,VA11,6.0,exc
440,AVAL,VA12,2.0,exc
441,AVAL,VA2,1.0,exc
442,AVAL,VA3,2.0,exc
443,AVAL,VA4,2.0,exc
444,AVAL,VA5,3.0,exc
445,AVAL,VA6,4.0,exc
446,AVAL,VA8,9.0,exc
447,AVAL,VA9,7.0,exc
448,AVAR,ADER,1.0,exc
449,AVAR,AS1,1.0,exc
450,AVAR,AS10,1.0,exc
451,AVAR,AS11,6.0,exc
452,AVAR,AS2,2.0,exc
453,AVAR,AS3,1.0,exc
454,AVAR,AS4,1.0,exc
455,AVAR,AS5,1.0,exc
456,AVAR,AS6,2.0,exc
457,AVAR,AS7,3.0,exc
458,AVAR,AS8,6.0,exc
459,AVAR,AS9,5.0,exc
460,AVAR,AVAL,1.0,exc
461,AVAR,AVBL,1.0,exc
462,AVAR,AVDL,1.0,exc
463,AVAR,AVDR,2.0,exc
464,AVAR,AVEL,2.0,exc
465,AVAR,AVER,2.0,exc
466,AVAR,DA1,2.0,exc
467,AVAR,DA2,2.0,exc
468,AVAR,DA3,3.0,exc
469,AVAR,DA4,6.0,exc
470,AVAR,DA5,2.0,exc
471,AVAR,DA6,11.0,exc
472,AVAR,DA7,3.0,exc
473,AVAR,DA8,8.0,exc
474,AVAR,DA9,2.0,exc
475,AVAR,DB3,1.0,exc
476,AVAR,DB5,1.0,exc
477,AVAR,DB6,5.0,exc
478,AVAR,LUAL,1.0,exc
479,AVAR,LUAR,3.0,exc
480,AVAR,PDEL,1.0,exc
481,AVAR,PDER,1.0,exc
482,AVAR,PVCL,7.0,exc
483,AVAR,PVCR,5.0,exc
484,AVAR,RIGL,1.0,exc
485,AVAR,SABD,1.0,exc
486,AVAR,SABVL,3.0,exc
487,AVAR,VA10,4.0,exc
488,AVAR,VA11,8.0,exc
489,AVAR,VA2,2.0,exc
490,AVAR,VA3,5.0,exc
491,AVAR,VA4,2.0,exc
492,AVAR,VA5,1.0,exc
493,AVAR,VA6,3.0,exc
494,AVAR,VA8,12.0,exc
495,AVAR,VA9,6.0,exc
496,AVAR,VD13,2.0,exc
497,AVBL,AS10,1.0,exc
498,AVBL,AS3,1.0,exc
499,AVBL,AS4,1.0,exc
500,AVBL,AS5,1.0,exc
501,AVBL,AS6,1.0,exc
502,AVBL,AS9,1.0,exc
503,AVBL,AVAL,7.0,exc
504,AVBL,AVAR,7.0,exc
505,AVBL,AVBR,1.0,exc
506,AVBL,AVDL,1.0,exc
507,AVBL,AVDR,2.0,exc
508,AVBL,AVEL,1.0,exc
509,AVBL,AVER,2.0,exc
510,AVBL,AVL,1.0,exc
511,AVBL,PVNR,1.0,exc
512,AVBL,VA10,1.0,exc
513,AVBL,VA2,1.0,exc
514,AVBL,VA7,1.0,exc
515,AVBL,VB2,1.0,exc
516,AVBL,VC3,1.0,exc
517,AVBR,AS1,1.0,exc
518,AVBR,AS10,1.0,exc
519,AVBR,AS3,1.0,exc
520,AVBR,AS4,1.0,exc
521,AVBR,AS5,1.0,exc
522,AVBR,AS6,1.0,exc
523,AVBR,AS7,1.0,exc
524,AVBR,AVAL,6.0,exc
525,AVBR,AVAR,7.0,exc
526,AVBR,AVBL,1.0,exc
527,AVBR,DA5,1.0,exc
528,AVBR,HSNR,1.0,exc
529,AVBR,VA4,1.0,exc
530,AVBR,VA9,1.0,exc
531,AVBR,VD3,1.0,exc
532,AVDL,AS1,1.0,exc
533,AVDL,AS10,1.0,exc
534,AVDL,AS11,2.0,exc
535,AVDL,AS4,1.0,exc
536,AVDL,AS5,1.0,exc
537,AVDL,AVAL,13.0,exc
538,AVDL,AVAR,19.0,exc
539,AVDL,DA1,1.0,exc
540,AVDL,DA2,1.0,exc
541,AVDL,DA3,4.0,exc
542,AVDL,DA4,1.0,exc
543,AVDL,DA5,1.0,exc
544,AVDL,DA8,1.0,exc
545,AVDL,LUAL,1.0,exc
546,AVDL,PVCL,1.0,exc
547,AVDL,SABD,1.0,exc
548,AVDL,SABVL,1.0,exc
549,AVDL,SABVR,1.0,exc
550,AVDL,VA5,1.0,exc
551,AVDR,AS10,1.0,exc
552,AVDR,AS5,1.0,exc
553,AVDR,AVAL,16.0,exc
554,AVDR,AVAR,15.0,exc
555,AVDR,AVBL,1.0,exc
556,AVDR,AVDL,2.0,exc
557,AVDR,DA1,2.0,exc
558,AVDR,DA2,1.0,exc
559,AVDR,DA3,1.0,exc
560,AVDR,DA4,1.0,exc
561,AVDR,DA5,2.0,exc
562,AVDR,DA8,1.0,exc
563,AVDR,DA9,1.0,exc
564,AVDR,DB4,1.0,exc
565,AVDR,DVC,1.0,exc
566,AVDR,LUAL,2.0,exc
567,AVDR,PQR,1.0,exc
568,AVDR,SABD,1.0,exc
569,AVDR,SABVL,3.0,exc
570,AVDR,SABVR,1.0,exc
571,AVDR,VA11,1.0,exc
572,AVDR,VA2,1.0,exc
573,AVDR,VA3,2.0,exc
574,AVDR,VA6,1.0,exc
575,AVEL,AS1,1.0,exc
576,AVEL,AVAL,12.0,exc
577,AVEL,AVAR,7.0,exc
578,AVEL,DA1,5.0,exc
579,AVEL,DA2,1.0,exc
580,AVEL,DA3,3.0,exc
581,AVEL,DA4,1.0,exc
582,AVEL,PVCR,1.0,exc
583,AVEL,PVT,1.0,exc
